loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.01G213900,water_soluble_protein,C(type),442.4645753,1,21.728252,6.99E-06
Glyma.01G213900,water_soluble_protein,Residual,2993.443401,147,NA,NA
Glyma.18G234500,water_soluble_protein,C(type),101.4023503,1,4.833912996,0.029479361
Glyma.18G234500,water_soluble_protein,Residual,3062.682998,146,NA,NA
Glyma.16G148800,water_soluble_protein,C(type),152.4931532,2,3.222540453,0.042893467
Glyma.16G148800,water_soluble_protein,Residual,3241.473969,137,NA,NA
Glyma.13G189200,water_soluble_protein,C(type),488.9837391,4,5.798986899,0.000233823
Glyma.13G189200,water_soluble_protein,Residual,3056.682288,145,NA,NA
Glyma.10G214700,water_soluble_protein,C(type),252.818611,2,5.923015273,0.003325096
Glyma.10G214700,water_soluble_protein,Residual,3286.676152,154,NA,NA
Glyma.18G164600,water_soluble_protein,C(type),241.9388567,2,5.464770972,0.005088839
Glyma.18G164600,water_soluble_protein,Residual,3431.115685,155,NA,NA
Glyma.03G161600,water_soluble_protein,C(type),161.4989868,2,3.634377368,0.028660146
Glyma.03G161600,water_soluble_protein,Residual,3466.046504,156,NA,NA
Glyma.13G194500,water_soluble_protein,C(type),513.899167,3,6.581776078,0.000568512
Glyma.13G194500,water_soluble_protein,Residual,1769.792983,68,NA,NA
Glyma.15G166300,water_soluble_protein,C(type),234.1430004,2,5.714080154,0.00411008
Glyma.15G166300,water_soluble_protein,Residual,2888.843188,141,NA,NA
Glyma.06G223700,water_soluble_protein,C(type),134.0387726,2,3.075578073,0.048954824
Glyma.06G223700,water_soluble_protein,Residual,3421.159665,157,NA,NA
Glyma.06G232600,water_soluble_protein,C(type),88.33737899,1,3.906833758,0.049808933
Glyma.06G232600,water_soluble_protein,Residual,3617.758399,160,NA,NA
Glyma.17G155900,water_soluble_protein,C(type),237.8565506,2,5.40629237,0.005362871
Glyma.17G155900,water_soluble_protein,Residual,3453.705044,157,NA,NA
Glyma.18G136100,water_soluble_protein,C(type),171.8278845,2,3.939456587,0.021424901
Glyma.18G136100,water_soluble_protein,Residual,3402.13801,156,NA,NA
Glyma.09G062900,water_soluble_protein,C(type),117.2098344,1,5.21784875,0.02366253
Glyma.09G062900,water_soluble_protein,Residual,3616.58305,161,NA,NA
Glyma.06G143700,water_soluble_protein,C(type),312.1026549,3,5.153147629,0.002031632
Glyma.06G143700,water_soluble_protein,Residual,3028.272013,150,NA,NA
Glyma.13G216700,water_soluble_protein,C(type),288.8138532,3,4.369951138,0.005537201
Glyma.13G216700,water_soluble_protein,Residual,3370.634144,153,NA,NA
Glyma.05G147100,water_soluble_protein,C(type),305.7314006,3,5.288424638,0.001756618
Glyma.05G147100,water_soluble_protein,Residual,2659.325865,138,NA,NA
Glyma.19G037200,water_soluble_protein,C(type),254.6469779,2,5.625492694,0.004474291
Glyma.19G037200,water_soluble_protein,Residual,3146.029321,139,NA,NA
Glyma.20G122200,water_soluble_protein,C(type),242.6540907,2,5.543908915,0.004754907
Glyma.20G122200,water_soluble_protein,Residual,3282.712087,150,NA,NA
Glyma.11G232900,water_soluble_protein,C(type),138.4420241,1,6.418877986,0.012271634
Glyma.11G232900,water_soluble_protein,Residual,3386.167773,157,NA,NA
Glyma.18G245200,water_soluble_protein,C(type),302.5158947,4,4.278254599,0.002748287
